spatial,temporal,tod,dow,LOC,POA,MOA,TIMERANGE,y
0.313445273,11.55394525,8.476912724,2.091888082,1,0,1,10,1
33.63524799,31.27541429,6.169848828,3.071807928,0,0,0,18.33333333,0
25.49183021,69.58680556,9.916666667,0.173611111,0,1,0,0,0
28.10031776,22.8538009,3.529692032,1.537828676,0,0,1,8,0
4.460699691,53.823709,4.508290188,3.097818775,0,0,0,12,0
18.14855868,53.94375,1.35,2.1125,0,0,0,0,0
7.072859683,325.4073391,7.007147123,3.154559669,0,0,1,17,0
23.57121122,35.87752959,3.007803451,0.606696258,1,1,1,7.25,0
17.17935648,90.3854168,9.250003236,1.229166532,0,0,0,0,0
18.64712556,324.1458333,3.5,1.291666667,0,1,0,0,0
21.55993386,132.9063257,2.248183576,0.197840982,1,0,0,0.5,0
17.68041691,296.2294047,5.781630783,2.132182472,0,0,0,15.5,0
15.90314851,61.19873854,4.769725061,1.412372567,0,1,0,9,0
4.920090893,48.67013889,7.916666667,0.340277778,1,0,0,0,0
14.15091381,18.59757881,5.855312966,2.21871214,0,1,0,74.5,0
18.97811239,19.34914805,8.379553212,1.316824172,0,0,1,0.75,0
21.0125717,159.5104167,11.75,0.979166667,0,1,0,0,0
14.29583123,15.52384111,9.9568499,0.884257774,1,0,0,7.833333333,0
28.70333164,336.4322012,5.747235422,0.876232923,0,1,0,76,0
9.946710206,20.35284241,5.881003373,1.763800159,0,0,1,502.75,0
20.40791574,181.9334036,1.61125585,0.073658947,0,0,0,2.75,0
21.85073296,53.48361322,7.523397727,2.783747891,0,0,0,12.08333333,0
12.7949159,106.7320915,5.766652249,1.727438548,0,1,0,309.7666667,0
4.904271455,350.2548611,6.116666667,0.509722222,0,1,0,0,0
23.57408038,294.2177038,5.224892173,0.565629493,0,0,0,0.05,0
22.22565571,229.7715278,5.483333333,0.456944444,0,0,0,0,0
14.55084828,60.16159426,5.89447449,1.657792731,0,0,0,581.55,0
7.803909004,163.080665,2.851449374,2.365387174,0,0,0,9.833333333,0
11.02236341,40.2062631,5.426100773,1.918736895,0,0,0,16,0
19.87249046,0.042846379,1.028313094,0.035587452,0,1,0,2.5,0
30.30422717,0.11301452,2.712348475,0.248728238,0,1,1,2.25,0
21.71506101,72.63472222,8.766666667,2.269444444,0,1,0,0,0
0.923627843,55.0623831,1.497194494,0.833450229,1,1,0,2,0
19.12304492,84.66507106,6.101521711,0.883821065,0,0,1,21,0
5.843634679,224.4821354,10.46119826,1.082829865,0,1,1,5.666666667,0
12.8136903,304.3055253,7.332606777,3.197252495,0,0,0,9,0
22.9809149,39.02828307,0.678793709,2.93282804,0,0,1,0.5,0
3.012777906,254.1138378,3.957836849,1.506198877,0,0,0,13.5,0
29.74069682,334.3136394,6.814016579,1.60302724,0,0,0,11.25,0
19.12402548,81.18645358,5.821064258,2.983031042,0,0,1,48,0
25.42505631,357.1896188,4.550852378,0.512535516,0,0,0,6.416666667,0
14.78049139,23.54444444,10.93333333,2.088888889,0,0,0,0,0
7.982329476,2.573268205,10.24156307,2.146184872,1,0,0,0.016666667,0
19.50711896,357.6029392,9.529458096,0.134189246,1,1,0,3.5,0
13.9788565,237.8180766,4.366161515,0.245812285,0,0,0,5.85,0
21.82688538,195.0669769,1.60744527,0.842745336,1,0,0,1.133333333,0
2.086997958,228.2152699,5.166477935,2.568757864,0,0,0,0.033333333,0
6.147883087,211.0118056,0.283333333,1.023611111,0,0,0,0,0
18.93598176,56.37693006,8.625484406,0.554013394,0,1,0,9.85,0
10.23402616,187.6895833,7.45,1.620833333,0,0,0,0,0
14.93275946,78.5052264,9.383015553,1.827448617,0,0,0,8.516666667,0
6.95016228,17.71785409,6.771501831,3.472461546,0,0,0,1.95,0
11.24585525,133.3376512,7.911397364,0.441817905,1,0,0,11,0
26.70741153,355.1464355,6.709587321,2.427175612,0,0,0,34.95,0
39.52486097,174.670457,7.086941501,0.160327092,0,1,0,13.85,0
36.67823798,112.8161614,4.43821016,0.586994728,1,0,0,2,0
30.16860769,40.53856829,11.0743611,0.923237268,0,1,0,0.016666667,0
21.57827168,162.8914208,5.986016609,1.752070959,0,0,0,1300,0
17.65286866,158.1038018,4.812104876,2.521198166,0,1,1,12.4,0
12.41687473,211.8343632,3.975282095,2.671168802,0,1,1,0.116666667,0
45.18361297,264.2771835,6.628960399,1.631149861,1,0,0,8.966666667,0
18.11166404,123.3415215,8.196517181,2.286256229,1,1,1,1.5,0
